"Name","Team","Games","Points","G","A","PM","PIM","S","SOFF","LB","TO","CT","FO_W","FO","PointsPG","GPG","APG","PMPG","PIMPG","SPG","SOFFPG","LBPG","TOPG","CTPG","FO_WPG","FOPG","ATO_ration","FOpercent","ShootingPct","AdjShootingPct"
"G.McIntosh","San Diego ",14,10,3,7,0,38,7,2,68,7,9,NA,NA,0.714285714285714,0.214285714285714,0.5,0,2.71428571428571,0.5,0.142857142857143,4.85714285714286,0.5,0.642857142857143,NA,NA,1,NA,0.333333333333333,0.428571428571429
"H.Cattoni","Georgia ",18,80,27,53,0,13,119,63,59,38,3,NA,NA,4.44444444444444,1.5,2.94444444444444,0,0.722222222222222,6.61111111111111,3.5,3.27777777777778,2.11111111111111,0.166666666666667,NA,NA,1.39473684210526,NA,0.148351648351648,0.226890756302521
"I.Davis-Allen","Philadelphia ",4,0,0,0,0,2,2,0,23,0,0,NA,NA,0,0,0,0,0.5,0.5,0,5.75,0,0,NA,NA,NA,NA,0,0
"I.Hawksbee","Vancouver ",18,7,0,7,0,9,2,2,153,7,24,NA,NA,0.388888888888889,0,0.388888888888889,0,0.5,0.111111111111111,0.111111111111111,8.5,0.388888888888889,1.33333333333333,NA,NA,1,NA,0,0
"I.Llord","Colorado ",6,1,0,1,0,4,1,0,21,0,3,NA,NA,0.166666666666667,0,0.166666666666667,0,0.666666666666667,0.166666666666667,0,3.5,0,0.5,NA,NA,Inf,NA,0,0
"I.Llord","Rochester ",9,0,0,0,0,8,1,1,24,3,8,NA,NA,0,0,0,0,0.888888888888889,0.111111111111111,0.111111111111111,2.66666666666667,0.333333333333333,0.888888888888889,NA,NA,0,NA,0,0
"I.MacKay","Buffalo ",18,32,11,21,0,8,40,17,88,16,15,NA,NA,1.77777777777778,0.611111111111111,1.16666666666667,0,0.444444444444444,2.22222222222222,0.944444444444444,4.88888888888889,0.888888888888889,0.833333333333333,NA,NA,1.3125,NA,0.192982456140351,0.275
"J.Barclay","Rochester ",16,8,1,7,0,16,5,0,60,10,15,NA,NA,0.5,0.0625,0.4375,0,1,0.3125,0,3.75,0.625,0.9375,NA,NA,0.7,NA,0.2,0.2
"J.Byrne","Buffalo ",9,42,13,29,0,2,59,30,33,14,6,NA,NA,4.66666666666667,1.44444444444444,3.22222222222222,0,0.222222222222222,6.55555555555556,3.33333333333333,3.66666666666667,1.55555555555556,0.666666666666667,NA,NA,2.07142857142857,NA,0.146067415730337,0.220338983050847
"J.Chetner","Vancouver ",11,16,5,11,0,13,35,17,19,15,0,NA,NA,1.45454545454545,0.454545454545455,1,0,1.18181818181818,3.18181818181818,1.54545454545455,1.72727272727273,1.36363636363636,0,NA,NA,0.733333333333333,NA,0.0961538461538462,0.142857142857143
"J.Coyle","New England ",18,5,0,5,0,17,1,8,75,13,16,NA,NA,0.277777777777778,0,0.277777777777778,0,0.944444444444444,0.0555555555555556,0.444444444444444,4.16666666666667,0.722222222222222,0.888888888888889,NA,NA,0.384615384615385,NA,0,0
"J.Cupido","Colorado ",18,17,3,14,0,4,18,2,98,13,33,NA,NA,0.944444444444444,0.166666666666667,0.777777777777778,0,0.222222222222222,1,0.111111111111111,5.44444444444444,0.722222222222222,1.83333333333333,NA,NA,1.07692307692308,NA,0.15,0.166666666666667
"J.Currier","Philadelphia ",18,62,34,28,0,10,147,47,66,25,4,NA,NA,3.44444444444444,1.88888888888889,1.55555555555556,0,0.555555555555556,8.16666666666667,2.61111111111111,3.66666666666667,1.38888888888889,0.222222222222222,NA,NA,1.12,NA,0.175257731958763,0.231292517006803
"J.Durston","Buffalo ",18,47,15,32,0,14,66,38,64,28,6,NA,NA,2.61111111111111,0.833333333333333,1.77777777777778,0,0.777777777777778,3.66666666666667,2.11111111111111,3.55555555555556,1.55555555555556,0.333333333333333,NA,NA,1.14285714285714,NA,0.144230769230769,0.227272727272727
"J.Garritano","Colorado ",8,1,1,0,0,0,2,1,19,3,8,NA,NA,0.125,0.125,0,0,0,0.25,0.125,2.375,0.375,1,NA,NA,0,NA,0.333333333333333,0.5
"J.Gilles","Colorado ",18,4,3,1,0,2,17,6,78,11,12,NA,NA,0.222222222222222,0.166666666666667,0.0555555555555556,0,0.111111111111111,0.944444444444444,0.333333333333333,4.33333333333333,0.611111111111111,0.666666666666667,NA,NA,0.0909090909090909,NA,0.130434782608696,0.176470588235294
"J.Guterding","Philadelphia ",4,11,3,8,0,0,17,6,10,9,1,NA,NA,2.75,0.75,2,0,0,4.25,1.5,2.5,2.25,0.25,NA,NA,0.888888888888889,NA,0.130434782608696,0.176470588235294
"J.Hall","Philadelphia ",18,67,19,48,0,10,80,31,92,34,10,NA,NA,3.72222222222222,1.05555555555556,2.66666666666667,0,0.555555555555556,4.44444444444444,1.72222222222222,5.11111111111111,1.88888888888889,0.555555555555556,NA,NA,1.41176470588235,NA,0.171171171171171,0.2375
"J.Harnett","Buffalo ",8,2,0,2,0,10,0,0,13,0,1,NA,NA,0.25,0,0.25,0,1.25,0,0,1.625,0,0.125,NA,NA,Inf,NA,NA,NA
"J.Heningburg","San Diego ",1,1,1,0,0,5,2,0,0,0,0,NA,NA,1,1,0,0,5,2,0,0,0,0,NA,NA,NA,NA,0.5,0.5
"J.Jones-Smith","Saskatchewan ",17,1,1,0,0,6,2,2,19,4,5,NA,NA,0.0588235294117647,0.0588235294117647,0,0,0.352941176470588,0.117647058823529,0.117647058823529,1.11764705882353,0.235294117647059,0.294117647058824,NA,NA,0,NA,0.25,0.5
"J.Kealey","New England ",6,13,3,10,0,0,25,9,19,4,1,NA,NA,2.16666666666667,0.5,1.66666666666667,0,0,4.16666666666667,1.5,3.16666666666667,0.666666666666667,0.166666666666667,NA,NA,2.5,NA,0.0882352941176471,0.12
"J.King","Calgary ",2,9,3,6,0,0,8,6,8,5,2,NA,NA,4.5,1.5,3,0,0,4,3,4,2.5,1,NA,NA,1.2,NA,0.214285714285714,0.375
"J.LaFontaine","New England ",15,6,1,5,0,0,6,5,42,4,5,NA,NA,0.4,0.0666666666666667,0.333333333333333,0,0,0.4,0.333333333333333,2.8,0.266666666666667,0.333333333333333,NA,NA,1.25,NA,0.0909090909090909,0.166666666666667
"J.Lintz","Colorado ",18,1,0,1,0,10,0,1,43,5,13,NA,NA,0.0555555555555556,0,0.0555555555555556,0,0.555555555555556,0,0.0555555555555556,2.38888888888889,0.277777777777778,0.722222222222222,NA,NA,0.2,NA,0,NA
"J.MacIntosh","Georgia ",15,23,12,11,0,4,34,5,121,22,10,143,318,1.53333333333333,0.8,0.733333333333333,0,0.266666666666667,2.26666666666667,0.333333333333333,8.06666666666667,1.46666666666667,0.666666666666667,9.53333333333333,21.2,0.5,0.449685534591195,0.307692307692308,0.352941176470588
"J.Magnuson","Toronto ",3,1,0,1,0,4,0,0,7,1,1,NA,NA,0.333333333333333,0,0.333333333333333,0,1.33333333333333,0,0,2.33333333333333,0.333333333333333,0.333333333333333,NA,NA,1,NA,NA,NA
"J.Martin","Buffalo ",18,1,1,0,0,10,4,1,33,7,9,NA,NA,0.0555555555555556,0.0555555555555556,0,0,0.555555555555556,0.222222222222222,0.0555555555555556,1.83333333333333,0.388888888888889,0.5,NA,NA,0,NA,0.2,0.25
